Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-nnh1,counterbalance-yw81,randomiser-rl3q,counterbalance-oqb7,counterbalance-3hrr,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: stimuli,Spreadsheet: answer,Spreadsheet: condition,Spreadsheet: set,Spreadsheet: item,Spreadsheet: Freq,Spreadsheet: trial,Spreadsheet: block,Manipulation: Spreadsheet
11,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,2,practice,Screen 2,uuh3ru,2,info,audio started,10.660000000003492,0,10.660000000003492,10.660000000003492,0,10.660000000003492,0,10.660000000003492,0,0,,Audio Clip,Audio,1,object-73,practice,beşduy.mp3,unacceptable,SynViol.Num,practice,beş duy,n/a,8,1,
12,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,2,practice,Screen 2,uuh3ru,2,continue,,829.6600000000035,821.5400000000009,829.6600000000035,829.6600000000035,821.5400000000009,829.6600000000035,0,829.6600000000035,0,0,,Audio Clip,Audio,1,object-73,practice,beşduy.mp3,unacceptable,SynViol.Num,practice,beş duy,n/a,8,1,
13,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,2,practice,Screen 5,2nfik6,3,timedOut,,1496.1200000000026,1493.800000000003,1496.1200000000026,1496.1200000000026,1493.800000000003,1496.1200000000026,0,1496.1200000000026,0,0,,Time Limit,screen,0,screen,practice,beşduy.mp3,unacceptable,SynViol.Num,practice,beş duy,n/a,8,1,
14,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,3,practice,Screen 1,d41d54,1,continue,,571.0199999999968,571.0199999999968,571.0199999999968,571.0199999999968,571.0199999999968,571.0199999999968,1,571.0199999999968,0,0,,Fixation Timing,Fixation,1,object-70,practice,inandı.mp3,acceptable,GramHarm,practice,inandı,n/a,7,1,
15,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,3,practice,Screen 2,uuh3ru,2,info,audio started,8.3,0,8.3,8.3,0,8.3,0,8.3,0,0,,Audio Clip,Audio,1,object-73,practice,inandı.mp3,acceptable,GramHarm,practice,inandı,n/a,7,1,
16,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,3,practice,Screen 2,uuh3ru,2,continue,,891.3000000000029,888.6200000000026,891.3000000000029,891.3000000000029,888.6200000000026,891.3000000000029,0,891.3000000000029,0,0,,Audio Clip,Audio,1,object-73,practice,inandı.mp3,acceptable,GramHarm,practice,inandı,n/a,7,1,
17,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,3,practice,Screen 5,2nfik6,3,timedOut,,1511.6800000000003,1507.9400000000023,1511.6800000000003,1511.6800000000003,1507.9400000000023,1511.6800000000003,0,1511.6800000000003,0,0,,Time Limit,screen,0,screen,practice,inandı.mp3,acceptable,GramHarm,practice,inandı,n/a,7,1,
18,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,4,practice,Screen 1,d41d54,1,continue,,573.0799999999945,573.0799999999945,573.0799999999945,573.0799999999945,573.0799999999945,573.0799999999945,1,573.0799999999945,0,0,,Fixation Timing,Fixation,1,object-70,practice,qarışdu.mp3,unacceptable,HarmViol,practice,qarışdy,n/a,14,1,
19,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,4,practice,Screen 2,uuh3ru,2,info,audio started,9.660000000003492,0,9.660000000003492,9.660000000003492,0,9.660000000003492,0,9.660000000003492,0,0,,Audio Clip,Audio,1,object-73,practice,qarışdu.mp3,unacceptable,HarmViol,practice,qarışdy,n/a,14,1,
20,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,4,practice,Screen 2,uuh3ru,2,continue,,811.6600000000035,804.1600000000035,811.6600000000035,811.6600000000035,804.1600000000035,811.6600000000035,0,811.6600000000035,0,0,,Audio Clip,Audio,1,object-73,practice,qarışdu.mp3,unacceptable,HarmViol,practice,qarışdy,n/a,14,1,
21,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,4,practice,Screen 5,2nfik6,3,timedOut,,1494.5,1493.300000000003,1494.5,1494.5,1493.300000000003,1494.5,0,1494.5,0,0,,Time Limit,screen,0,screen,practice,qarışdu.mp3,unacceptable,HarmViol,practice,qarışdy,n/a,14,1,
22,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,5,practice,Screen 1,d41d54,1,continue,,571.3199999999997,571.3199999999997,571.3199999999997,571.3199999999997,571.3199999999997,571.3199999999997,1,571.3199999999997,0,0,,Fixation Timing,Fixation,1,object-70,practice,yaşalar.mp3,unacceptable,SynViol.Pl,practice,yaşalar,n/a,10,1,
23,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,5,practice,Screen 2,uuh3ru,2,info,audio started,9.88,0,9.88,9.88,0,9.88,0,9.88,0,0,,Audio Clip,Audio,1,object-73,practice,yaşalar.mp3,unacceptable,SynViol.Pl,practice,yaşalar,n/a,10,1,
24,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,5,practice,Screen 2,uuh3ru,2,continue,,946.8799999999974,938.1800000000003,946.8799999999974,946.8799999999974,938.1800000000003,946.8799999999974,0,946.8799999999974,0,0,,Audio Clip,Audio,1,object-73,practice,yaşalar.mp3,unacceptable,SynViol.Pl,practice,yaşalar,n/a,10,1,
25,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,5,practice,Screen 5,2nfik6,3,timedOut,,1494.699999999997,1493.8199999999924,1494.699999999997,1494.699999999997,1493.8199999999924,1494.699999999997,0,1494.699999999997,0,0,,Time Limit,screen,0,screen,practice,yaşalar.mp3,unacceptable,SynViol.Pl,practice,yaşalar,n/a,10,1,
26,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,6,practice,Screen 1,d41d54,1,continue,,571,571,571,571,571,571,1,571,0,0,,Fixation Timing,Fixation,1,object-70,practice,çıxartlar.mp3,unacceptable,SynViol.Pl,practice,çıxartlar,n/a,9,1,
27,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,6,practice,Screen 2,uuh3ru,2,info,audio started,8.880000000004657,0,8.880000000004657,8.880000000004657,0,8.880000000004657,0,8.880000000004657,0,0,,Audio Clip,Audio,1,object-73,practice,çıxartlar.mp3,unacceptable,SynViol.Pl,practice,çıxartlar,n/a,9,1,
28,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,6,practice,Screen 2,uuh3ru,2,continue,,1031.8800000000047,1022.6399999999994,1031.8800000000047,1031.8800000000047,1022.6399999999994,1031.8800000000047,0,1031.8800000000047,0,0,,Audio Clip,Audio,1,object-73,practice,çıxartlar.mp3,unacceptable,SynViol.Pl,practice,çıxartlar,n/a,9,1,
29,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,6,practice,Screen 5,2nfik6,3,timedOut,,1495.2400000000052,1494.2200000000012,1495.2400000000052,1495.2400000000052,1494.2200000000012,1495.2400000000052,0,1495.2400000000052,0,0,,Time Limit,screen,0,screen,practice,çıxartlar.mp3,unacceptable,SynViol.Pl,practice,çıxartlar,n/a,9,1,
30,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,7,practice,Screen 1,d41d54,1,continue,,570,570,570,570,570,570,1,570,0,0,,Fixation Timing,Fixation,1,object-70,practice,qəfəslər.mp3,acceptable,Gramm.Simple,practice,qəfəslər,n/a,2,1,
31,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,7,practice,Screen 2,uuh3ru,2,info,audio started,8.020000000004075,0,8.020000000004075,8.020000000004075,0,8.020000000004075,0,8.020000000004075,0,0,,Audio Clip,Audio,1,object-73,practice,qəfəslər.mp3,acceptable,Gramm.Simple,practice,qəfəslər,n/a,2,1,
32,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,7,practice,Screen 2,uuh3ru,2,continue,,965.0200000000041,955.3000000000029,965.0200000000041,965.0200000000041,955.3000000000029,965.0200000000041,0,965.0200000000041,0,0,,Audio Clip,Audio,1,object-73,practice,qəfəslər.mp3,acceptable,Gramm.Simple,practice,qəfəslər,n/a,2,1,
33,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,7,practice,Screen 5,2nfik6,3,timedOut,,1494.7200000000012,1493.300000000003,1494.7200000000012,1494.7200000000012,1493.300000000003,1494.7200000000012,0,1494.7200000000012,0,0,,Time Limit,screen,0,screen,practice,qəfəslər.mp3,acceptable,Gramm.Simple,practice,qəfəslər,n/a,2,1,
34,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,8,practice,Screen 1,d41d54,1,continue,,571.7400000000052,571.7400000000052,571.7400000000052,571.7400000000052,571.7400000000052,571.7400000000052,1,571.7400000000052,0,0,,Fixation Timing,Fixation,1,object-70,practice,atıldu.mp3,unacceptable,HarmViol,practice,atıldu,n/a,13,1,
35,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,8,practice,Screen 2,uuh3ru,2,info,audio started,6.679999999993015,0,6.679999999993015,6.679999999993015,0,6.679999999993015,0,6.679999999993015,0,0,,Audio Clip,Audio,1,object-73,practice,atıldu.mp3,unacceptable,HarmViol,practice,atıldu,n/a,13,1,
36,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,8,practice,Screen 2,uuh3ru,2,continue,,803.68,788.0799999999872,803.68,803.68,788.0799999999872,803.68,0,803.68,0,0,,Audio Clip,Audio,1,object-73,practice,atıldu.mp3,unacceptable,HarmViol,practice,atıldu,n/a,13,1,
37,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,8,practice,Screen 5,2nfik6,3,timedOut,,1494.6000000000058,1492.1800000000076,1494.6000000000058,1494.6000000000058,1492.1800000000076,1494.6000000000058,0,1494.6000000000058,0,0,,Time Limit,screen,0,screen,practice,atıldu.mp3,unacceptable,HarmViol,practice,atıldu,n/a,13,1,
38,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,9,practice,Screen 1,d41d54,1,continue,,571.8199999999924,571.8199999999924,571.8199999999924,571.8199999999924,571.8199999999924,571.8199999999924,1,571.8199999999924,0,0,,Fixation Timing,Fixation,1,object-70,practice,dötçiçəklər.mp3,unacceptable,SemViol,practice,dörd çiçəklər,n/a,11,1,
39,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,9,practice,Screen 2,uuh3ru,2,info,audio started,7.600000000005821,0,7.600000000005821,7.600000000005821,0,7.600000000005821,0,7.600000000005821,0,0,,Audio Clip,Audio,1,object-73,practice,dötçiçəklər.mp3,unacceptable,SemViol,practice,dörd çiçəklər,n/a,11,1,
40,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,9,practice,Screen 2,uuh3ru,2,continue,,1069.6000000000058,1056.3600000000006,1069.6000000000058,1069.6000000000058,1056.3600000000006,1069.6000000000058,0,1069.6000000000058,0,0,,Audio Clip,Audio,1,object-73,practice,dötçiçəklər.mp3,unacceptable,SemViol,practice,dörd çiçəklər,n/a,11,1,
41,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,9,practice,Screen 5,2nfik6,3,timedOut,,1494.2400000000052,1492.1000000000058,1494.2400000000052,1494.2400000000052,1492.1000000000058,1494.2400000000052,0,1494.2400000000052,0,0,,Time Limit,screen,0,screen,practice,dötçiçəklər.mp3,unacceptable,SemViol,practice,dörd çiçəklər,n/a,11,1,
42,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,10,practice,Screen 1,d41d54,1,continue,,571.9199999999983,571.9199999999983,571.9199999999983,571.9199999999983,571.9199999999983,571.9199999999983,1,571.9199999999983,0,0,,Fixation Timing,Fixation,1,object-70,practice,qanunlar.mp3,acceptable,Gramm.Simple,practice,qanunlar,n/a,1,1,
43,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,10,practice,Screen 2,uuh3ru,2,info,audio started,6.220000000001164,0,6.220000000001164,6.220000000001164,0,6.220000000001164,0,6.220000000001164,0,0,,Audio Clip,Audio,1,object-73,practice,qanunlar.mp3,acceptable,Gramm.Simple,practice,qanunlar,n/a,1,1,
44,1.69696E+12,10/10/2023 17:14,1.69697E+12,3.5,10/10/2023 23:44,140886,2,task-p745,,32144764,BLIND,9505769,,complete,enamxr,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,,,2,spreadsheet3,spreadsheet2,spreadsheet1,10,practice,Screen 2,uuh3ru,2,continue,,921.2200000000012,904.9799999999959,921.2200000000012,921.2200000000012,904.9799999999959,921.2200000000012,0,921.2200000000012,0,0,,Audio Clip,Audio,1,object-73,practice,qanunlar.mp3,acceptable,Gramm.Simple,practice,qanunlar,n/a,1,1,
