Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-nnh1,counterbalance-yw81,randomiser-rl3q,counterbalance-oqb7,counterbalance-3hrr,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: stimuli,Spreadsheet: answer,Spreadsheet: condition,Spreadsheet: set,Spreadsheet: item,Spreadsheet: Freq,Spreadsheet: trial,Spreadsheet: block,Manipulation: Spreadsheet
11,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,2,practice,Screen 2,uuh3ru,2,info,audio started,8.180000000000291,0,8.180000000000291,8.180000000000291,0,8.180000000000291,0,8.180000000000291,0,0,,Audio Clip,Audio,1,object-73,practice,qəfəslər.mp3,acceptable,Gramm.Simple,practice,qəfəslər,n/a,2,1,
12,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,2,practice,Screen 2,uuh3ru,2,response,acceptable,654.0800000000017,637.4200000000019,654.0800000000017,654.0800000000017,637.4200000000019,654.0800000000017,1,654.0800000000017,0,0,,Keyboard Response,Keyboard Response,4,object-122,practice,qəfəslər.mp3,acceptable,Gramm.Simple,practice,qəfəslər,n/a,2,1,
13,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,2,practice,Screen 5,2nfik6,3,timedOut,,1494.0600000000013,1492.5,1494.0600000000013,1494.0600000000013,1492.5,1494.0600000000013,0,1494.0600000000013,0,0,,Time Limit,screen,0,screen,practice,qəfəslər.mp3,acceptable,Gramm.Simple,practice,qəfəslər,n/a,2,1,
14,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,3,practice,Screen 1,d41d54,1,continue,,571.5600000000013,571.5600000000013,571.5600000000013,571.5600000000013,571.5600000000013,571.5600000000013,1,571.5600000000013,0,0,,Fixation Timing,Fixation,1,object-70,practice,inandı.mp3,acceptable,GramHarm,practice,inandı,n/a,7,1,
15,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,3,practice,Screen 2,uuh3ru,2,info,audio started,7,0,7,7,0,7,0,7,0,0,,Audio Clip,Audio,1,object-73,practice,inandı.mp3,acceptable,GramHarm,practice,inandı,n/a,7,1,
16,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,3,practice,Screen 2,uuh3ru,2,response,acceptable,845,839.0600000000013,845,845,839.0600000000013,845,1,845,0,0,,Keyboard Response,Keyboard Response,4,object-122,practice,inandı.mp3,acceptable,GramHarm,practice,inandı,n/a,7,1,
17,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,3,practice,Screen 5,2nfik6,3,timedOut,,1494.9399999999987,1493.7599999999984,1494.9399999999987,1494.9399999999987,1493.7599999999984,1494.9399999999987,0,1494.9399999999987,0,0,,Time Limit,screen,0,screen,practice,inandı.mp3,acceptable,GramHarm,practice,inandı,n/a,7,1,
18,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,4,practice,Screen 1,d41d54,1,continue,,570.62,570.62,570.62,570.62,570.62,570.62,1,570.62,0,0,,Fixation Timing,Fixation,1,object-70,practice,dötqarqa.mp3,acceptable,Gramm.Num,practice,dörd qarqa,n/a,4,1,
19,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,4,practice,Screen 2,uuh3ru,2,info,audio started,8.56,0,8.56,8.56,0,8.56,0,8.56,0,0,,Audio Clip,Audio,1,object-73,practice,dötqarqa.mp3,acceptable,Gramm.Num,practice,dörd qarqa,n/a,4,1,
20,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,4,practice,Screen 2,uuh3ru,2,continue,,962.5600000000013,956.3000000000029,962.5600000000013,962.5600000000013,956.3000000000029,962.5600000000013,0,962.5600000000013,0,0,,Audio Clip,Audio,1,object-73,practice,dötqarqa.mp3,acceptable,Gramm.Num,practice,dörd qarqa,n/a,4,1,
21,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,4,practice,Screen 5,2nfik6,3,response,acceptable,690.2599999999984,687.2599999999984,690.2599999999984,690.2599999999984,687.2599999999984,690.2599999999984,1,690.2599999999984,0,0,,Keyboard Response,Keyboard Response,1,object-112,practice,dötqarqa.mp3,acceptable,Gramm.Num,practice,dörd qarqa,n/a,4,1,
22,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,5,practice,Screen 1,d41d54,1,continue,,570.9799999999996,570.9799999999996,570.9799999999996,570.9799999999996,570.9799999999996,570.9799999999996,1,570.9799999999996,0,0,,Fixation Timing,Fixation,1,object-70,practice,beşqardaş.mp3,acceptable,Gramm.Num,practice,beş qardaş,n/a,5,1,
23,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,5,practice,Screen 2,uuh3ru,2,info,audio started,8.700000000000728,0,8.700000000000728,8.700000000000728,0,8.700000000000728,0,8.700000000000728,0,0,,Audio Clip,Audio,1,object-73,practice,beşqardaş.mp3,acceptable,Gramm.Num,practice,beş qardaş,n/a,5,1,
24,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,5,practice,Screen 2,uuh3ru,2,response,acceptable,812.7000000000007,804,812.7000000000007,812.7000000000007,804,812.7000000000007,1,812.7000000000007,0,0,,Keyboard Response,Keyboard Response,4,object-122,practice,beşqardaş.mp3,acceptable,Gramm.Num,practice,beş qardaş,n/a,5,1,
25,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,5,practice,Screen 5,2nfik6,3,timedOut,,1494.7200000000012,1492.300000000003,1494.7200000000012,1494.7200000000012,1492.300000000003,1494.7200000000012,0,1494.7200000000012,0,0,,Time Limit,screen,0,screen,practice,beşqardaş.mp3,acceptable,Gramm.Num,practice,beş qardaş,n/a,5,1,
26,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,6,practice,Screen 1,d41d54,1,continue,,570.7599999999984,570.7599999999984,570.7599999999984,570.7599999999984,570.7599999999984,570.7599999999984,1,570.7599999999984,0,0,,Fixation Timing,Fixation,1,object-70,practice,qanunlar.mp3,acceptable,Gramm.Simple,practice,qanunlar,n/a,1,1,
27,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,6,practice,Screen 2,uuh3ru,2,info,audio started,6.6599999999998545,0,6.6599999999998545,6.6599999999998545,0,6.6599999999998545,0,6.6599999999998545,0,0,,Audio Clip,Audio,1,object-73,practice,qanunlar.mp3,acceptable,Gramm.Simple,practice,qanunlar,n/a,1,1,
28,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,6,practice,Screen 2,uuh3ru,2,continue,,921.5999999999985,904.9399999999987,921.5999999999985,921.5999999999985,904.9399999999987,921.5999999999985,0,921.5999999999985,0,0,,Audio Clip,Audio,1,object-73,practice,qanunlar.mp3,acceptable,Gramm.Simple,practice,qanunlar,n/a,1,1,
29,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,6,practice,Screen 5,2nfik6,3,response,acceptable,82.72000000000116,67.58000000000175,82.72000000000116,82.72000000000116,67.58000000000175,82.72000000000116,1,82.72000000000116,0,0,,Keyboard Response,Keyboard Response,1,object-112,practice,qanunlar.mp3,acceptable,Gramm.Simple,practice,qanunlar,n/a,1,1,
30,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,7,practice,Screen 1,d41d54,1,continue,,569.7000000000007,569.7000000000007,569.7000000000007,569.7000000000007,569.7000000000007,569.7000000000007,1,569.7000000000007,0,0,,Fixation Timing,Fixation,1,object-70,practice,yaşalar.mp3,unacceptable,SynViol.Pl,practice,yaşalar,n/a,10,1,
31,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,7,practice,Screen 2,uuh3ru,2,info,audio started,7.279999999998836,0,7.279999999998836,7.279999999998836,0,7.279999999998836,0,7.279999999998836,0,0,,Audio Clip,Audio,1,object-73,practice,yaşalar.mp3,unacceptable,SynViol.Pl,practice,yaşalar,n/a,10,1,
32,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,7,practice,Screen 2,uuh3ru,2,response,acceptable,877.2799999999988,873.4400000000023,877.2799999999988,877.2799999999988,873.4400000000023,877.2799999999988,0,877.2799999999988,0,0,,Keyboard Response,Keyboard Response,4,object-122,practice,yaşalar.mp3,unacceptable,SynViol.Pl,practice,yaşalar,n/a,10,1,
33,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,7,practice,Screen 5,2nfik6,3,timedOut,,1494.8399999999965,1492.9599999999991,1494.8399999999965,1494.8399999999965,1492.9599999999991,1494.8399999999965,0,1494.8399999999965,0,0,,Time Limit,screen,0,screen,practice,yaşalar.mp3,unacceptable,SynViol.Pl,practice,yaşalar,n/a,10,1,
34,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,8,practice,Screen 1,d41d54,1,continue,,571.5799999999945,571.5799999999945,571.5799999999945,571.5799999999945,571.5799999999945,571.5799999999945,1,571.5799999999945,0,0,,Fixation Timing,Fixation,1,object-70,practice,çıxartlar.mp3,unacceptable,SynViol.Pl,practice,çıxartlar,n/a,9,1,
35,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,8,practice,Screen 2,uuh3ru,2,info,audio started,7.3,0,7.3,7.3,0,7.3,0,7.3,0,0,,Audio Clip,Audio,1,object-73,practice,çıxartlar.mp3,unacceptable,SynViol.Pl,practice,çıxartlar,n/a,9,1,
36,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,8,practice,Screen 2,uuh3ru,2,continue,,1031.300000000003,1021.6200000000026,1031.300000000003,1031.300000000003,1021.6200000000026,1031.300000000003,0,1031.300000000003,0,0,,Audio Clip,Audio,1,object-73,practice,çıxartlar.mp3,unacceptable,SynViol.Pl,practice,çıxartlar,n/a,9,1,
37,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,8,practice,Screen 5,2nfik6,3,response,acceptable,725.6800000000003,719.9199999999983,725.6800000000003,725.6800000000003,719.9199999999983,725.6800000000003,0,725.6800000000003,0,0,,Keyboard Response,Keyboard Response,1,object-112,practice,çıxartlar.mp3,unacceptable,SynViol.Pl,practice,çıxartlar,n/a,9,1,
38,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,9,practice,Screen 1,d41d54,1,continue,,569.76,569.76,569.76,569.76,569.76,569.76,1,569.76,0,0,,Fixation Timing,Fixation,1,object-70,practice,beşduy.mp3,unacceptable,SynViol.Num,practice,beş duy,n/a,8,1,
39,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,9,practice,Screen 2,uuh3ru,2,info,audio started,9.839999999996508,0,9.839999999996508,9.839999999996508,0,9.839999999996508,0,9.839999999996508,0,0,,Audio Clip,Audio,1,object-73,practice,beşduy.mp3,unacceptable,SynViol.Num,practice,beş duy,n/a,8,1,
40,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,9,practice,Screen 2,uuh3ru,2,continue,,827.8399999999965,821.9599999999991,827.8399999999965,827.8399999999965,821.9599999999991,827.8399999999965,0,827.8399999999965,0,0,,Audio Clip,Audio,1,object-73,practice,beşduy.mp3,unacceptable,SynViol.Num,practice,beş duy,n/a,8,1,
41,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,9,practice,Screen 5,2nfik6,3,response,unacceptable,771.7799999999916,755.1199999999953,771.7799999999916,771.7799999999916,755.1199999999953,771.7799999999916,1,771.7799999999916,0,0,,Keyboard Response,Keyboard Response,1,object-112,practice,beşduy.mp3,unacceptable,SynViol.Num,practice,beş duy,n/a,8,1,
42,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,10,practice,Screen 1,d41d54,1,continue,,571.0199999999968,571.0199999999968,571.0199999999968,571.0199999999968,571.0199999999968,571.0199999999968,1,571.0199999999968,0,0,,Fixation Timing,Fixation,1,object-70,practice,qarışdu.mp3,unacceptable,HarmViol,practice,qarışdy,n/a,14,1,
43,1.69696E+12,10/10/2023 17:58,1.69697E+12,3.5,11/10/2023 0:28,140886,2,task-7vyf,,32147027,BLIND,9506472,,complete,rhtfqe,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x596,,,0,SAVANT Task,12,Spreadsheet1,spreadsheet3,1,,,spreadsheet1,10,practice,Screen 2,uuh3ru,2,info,audio started,9.220000000001164,0,9.220000000001164,9.220000000001164,0,9.220000000001164,0,9.220000000001164,0,0,,Audio Clip,Audio,1,object-73,practice,qarışdu.mp3,unacceptable,HarmViol,practice,qarışdy,n/a,14,1,
